station_id,station_name,element_name,year,month,day,obs_val
43466,COLOMBO,TMPMAX,2012,12,4,30.1
43466,COLOMBO,TMPMAX,2012,12,5,31.2
43466,COLOMBO,TMPMAX,2012,12,6,31.3
43466,COLOMBO,TMPMAX,2012,12,7,31.2
43466,COLOMBO,TMPMAX,2012,12,8,30.4
43466,COLOMBO,TMPMAX,2012,12,9,31.9
43466,COLOMBO,TMPMAX,2012,12,10,31.5
43466,COLOMBO,TMPMAX,2012,12,11,31.3
43466,COLOMBO,TMPMAX,2012,12,12,30.5
43466,COLOMBO,TMPMAX,2012,12,13,32.8
43466,COLOMBO,TMPMAX,2012,12,14,33
43466,COLOMBO,TMPMAX,2012,12,15,29.8
43466,COLOMBO,TMPMAX,2012,12,16,30.6
43466,COLOMBO,TMPMAX,2012,12,17,26.2
43466,COLOMBO,TMPMAX,2012,12,18,28.5
43466,COLOMBO,TMPMAX,2012,12,19,28.9
43466,COLOMBO,TMPMAX,2012,12,20,30.7
43466,COLOMBO,TMPMAX,2012,12,21,30.6
43466,COLOMBO,TMPMAX,2012,12,22,29.5
43466,COLOMBO,TMPMAX,2012,12,23,30.8
43466,COLOMBO,TMPMAX,2012,12,24,32
43466,COLOMBO,TMPMAX,2012,12,25,30.3
43466,COLOMBO,TMPMAX,2012,12,26,30.3
43466,COLOMBO,TMPMAX,2012,12,27,30.5
43466,COLOMBO,TMPMAX,2012,12,28,30.5
43466,COLOMBO,TMPMAX,2012,12,29,31.8
43466,COLOMBO,TMPMAX,2012,12,30,30.9
43466,COLOMBO,TMPMAX,2012,12,31,31.3
43466,COLOMBO,TMPMAX,2013,1,1,32.6
43466,COLOMBO,TMPMAX,2013,1,2,31.4
43466,COLOMBO,TMPMAX,2013,1,3,28.4
43466,COLOMBO,TMPMAX,2013,1,4,26.6
43466,COLOMBO,TMPMAX,2013,1,5,30.1
43466,COLOMBO,TMPMAX,2013,1,6,30.6
43466,COLOMBO,TMPMAX,2013,1,7,28.3
43466,COLOMBO,TMPMAX,2013,1,8,30.3
43466,COLOMBO,TMPMAX,2013,1,9,30.1
43466,COLOMBO,TMPMAX,2013,1,10,25.9
43466,COLOMBO,TMPMAX,2013,1,11,28.9
43466,COLOMBO,TMPMAX,2013,1,12,31.2
43466,COLOMBO,TMPMAX,2013,1,13,30.1
43466,COLOMBO,TMPMAX,2013,1,14,31.1
43466,COLOMBO,TMPMAX,2013,1,15,32
43466,COLOMBO,TMPMAX,2013,1,16,32.8
43466,COLOMBO,TMPMAX,2013,1,17,31.6
43466,COLOMBO,TMPMAX,2013,1,18,30.9
43466,COLOMBO,TMPMAX,2013,1,19,31.8
43466,COLOMBO,TMPMAX,2013,1,20,30.8
43466,COLOMBO,TMPMAX,2013,1,21,33.2
43466,COLOMBO,TMPMAX,2013,1,22,33.1
43466,COLOMBO,TMPMAX,2013,1,23,30.7
43466,COLOMBO,TMPMAX,2013,1,24,30.8
43466,COLOMBO,TMPMAX,2013,1,25,32.2
43466,COLOMBO,TMPMAX,2013,1,26,32.1
43466,COLOMBO,TMPMAX,2013,1,27,33.3
43466,COLOMBO,TMPMAX,2013,1,28,34.6
43466,COLOMBO,TMPMAX,2013,1,29,34.5
43466,COLOMBO,TMPMAX,2013,1,30,34.4
43466,COLOMBO,TMPMAX,2013,1,31,33.6
43466,COLOMBO,TMPMAX,2013,2,1,33.5
43466,COLOMBO,TMPMAX,2013,2,2,33.7
43466,COLOMBO,TMPMAX,2013,2,3,33.3
43466,COLOMBO,TMPMAX,2013,2,4,31.9
43466,COLOMBO,TMPMAX,2013,2,5,32.1
43466,COLOMBO,TMPMAX,2013,2,6,31.5
43466,COLOMBO,TMPMAX,2013,2,7,30.6
43466,COLOMBO,TMPMAX,2013,2,8,30.5
43466,COLOMBO,TMPMAX,2013,2,9,31.3
43466,COLOMBO,TMPMAX,2013,2,10,33.1
43466,COLOMBO,TMPMAX,2013,2,11,31.7
43466,COLOMBO,TMPMAX,2013,2,12,29.6
43466,COLOMBO,TMPMAX,2013,2,13,31.1
43466,COLOMBO,TMPMAX,2013,2,14,29.5
43466,COLOMBO,TMPMAX,2013,2,15,33.1
43466,COLOMBO,TMPMAX,2013,2,16,30.8
43466,COLOMBO,TMPMAX,2013,2,17,30.3
43466,COLOMBO,TMPMAX,2013,2,18,30.9
43466,COLOMBO,TMPMAX,2013,2,19,30.7
43466,COLOMBO,TMPMAX,2013,2,20,31.3
43466,COLOMBO,TMPMAX,2013,2,21,32.9
43466,COLOMBO,TMPMAX,2013,2,22,32.1
43466,COLOMBO,TMPMAX,2013,2,23,32.5
43466,COLOMBO,TMPMAX,2013,2,24,31.6
43466,COLOMBO,TMPMAX,2013,2,25,30.4
43466,COLOMBO,TMPMAX,2013,2,26,31.1
43466,COLOMBO,TMPMAX,2013,2,27,30.7
43466,COLOMBO,TMPMAX,2013,2,28,30.8
43466,COLOMBO,TMPMAX,2013,2,29,
43466,COLOMBO,TMPMAX,2013,2,30,
43466,COLOMBO,TMPMAX,2013,2,31,
43466,COLOMBO,TMPMAX,2013,3,1,31.8
43466,COLOMBO,TMPMAX,2013,3,2,31.5
43466,COLOMBO,TMPMAX,2013,3,3,33.8
43466,COLOMBO,TMPMAX,2013,3,4,29.5
43466,COLOMBO,TMPMAX,2013,3,5,31.6
43466,COLOMBO,TMPMAX,2013,3,6,32.5
43466,COLOMBO,TMPMAX,2013,3,7,32.3
43466,COLOMBO,TMPMAX,2013,3,8,31.8
43466,COLOMBO,TMPMAX,2013,3,9,32.2
43466,COLOMBO,TMPMAX,2013,3,10,31.3
43466,COLOMBO,TMPMAX,2013,3,11,31.7
43466,COLOMBO,TMPMAX,2013,3,12,32.1
43466,COLOMBO,TMPMAX,2013,3,13,31.9
43466,COLOMBO,TMPMAX,2013,3,14,31.7
43466,COLOMBO,TMPMAX,2013,3,15,31.3
43466,COLOMBO,TMPMAX,2013,3,16,31.6
43466,COLOMBO,TMPMAX,2013,3,17,32.2
43466,COLOMBO,TMPMAX,2013,3,18,31.9
43466,COLOMBO,TMPMAX,2013,3,19,31.9
43466,COLOMBO,TMPMAX,2013,3,20,32.1
43466,COLOMBO,TMPMAX,2013,3,21,33.5
43466,COLOMBO,TMPMAX,2013,3,22,31.9
43466,COLOMBO,TMPMAX,2013,3,23,31.9
43466,COLOMBO,TMPMAX,2013,3,24,31.3
43466,COLOMBO,TMPMAX,2013,3,25,31.3
43466,COLOMBO,TMPMAX,2013,3,26,31.5
43466,COLOMBO,TMPMAX,2013,3,27,32.2
43466,COLOMBO,TMPMAX,2013,3,28,32.8
43466,COLOMBO,TMPMAX,2013,3,29,31.8
43466,COLOMBO,TMPMAX,2013,3,30,32.4
43466,COLOMBO,TMPMAX,2013,3,31,32.4
43466,COLOMBO,TMPMAX,2013,4,1,32.5
43466,COLOMBO,TMPMAX,2013,4,2,32.1
43466,COLOMBO,TMPMAX,2013,4,3,32.6
43466,COLOMBO,TMPMAX,2013,4,4,31.5
43466,COLOMBO,TMPMAX,2013,4,5,32.6
43466,COLOMBO,TMPMAX,2013,4,6,32.8
43466,COLOMBO,TMPMAX,2013,4,7,32.5
43466,COLOMBO,TMPMAX,2013,4,8,33.5
43466,COLOMBO,TMPMAX,2013,4,9,32.5
43466,COLOMBO,TMPMAX,2013,4,10,31.4
43466,COLOMBO,TMPMAX,2013,4,11,31.9
43466,COLOMBO,TMPMAX,2013,4,12,32.8
43466,COLOMBO,TMPMAX,2013,4,13,32.3
43466,COLOMBO,TMPMAX,2013,4,14,32.5
43466,COLOMBO,TMPMAX,2013,4,15,31.9
43466,COLOMBO,TMPMAX,2013,4,16,32.1
43466,COLOMBO,TMPMAX,2013,4,17,32.3
43466,COLOMBO,TMPMAX,2013,4,18,32.3
43466,COLOMBO,TMPMAX,2013,4,19,32.3
43466,COLOMBO,TMPMAX,2013,4,20,32.1
43466,COLOMBO,TMPMAX,2013,4,21,32.5
43466,COLOMBO,TMPMAX,2013,4,22,32.2
43466,COLOMBO,TMPMAX,2013,4,23,32.4
43466,COLOMBO,TMPMAX,2013,4,24,32.3
43466,COLOMBO,TMPMAX,2013,4,25,32.5
43466,COLOMBO,TMPMAX,2013,4,26,32.3
43466,COLOMBO,TMPMAX,2013,4,27,32.3
43466,COLOMBO,TMPMAX,2013,4,28,32.8
43466,COLOMBO,TMPMAX,2013,4,29,33.1
43466,COLOMBO,TMPMAX,2013,4,30,32.9
43466,COLOMBO,TMPMAX,2013,4,31,
43466,COLOMBO,TMPMAX,2013,5,1,32.3
